neighbourhood_group,neighbourhood,latitude,longitude
Brooklyn,Bergen Beach,40.623371000000006,-73.90920600000001
Brooklyn,Boerum Hill,40.68639096045198,-73.98548593220339
Brooklyn,Borough Park,40.63727345588235,-73.99703058823529
Brooklyn,Brighton Beach,40.57841293333333,-73.96129933333333
Brooklyn,Brooklyn Heights,40.69479337662337,-73.99432435064935
Brooklyn,Brownsville,40.66467426229508,-73.91421426229508
Brooklyn,Bushwick,40.696745816409425,-73.92038193744922
Brooklyn,Canarsie,40.638594285714284,-73.9012931292517
Brooklyn,Carroll Gardens,40.6806352360515,-73.99616004291845
Brooklyn,Clinton Hill,40.688114440559445,-73.96440064685315
Brooklyn,Cobble Hill,40.687267272727276,-73.99555353535354
Brooklyn,Columbia St,40.685023095238094,-74.0024573809524
Brooklyn,Coney Island,40.57593882352941,-73.98858176470588
Brooklyn,Crown Heights,40.67269851662404,-73.94632447570332
Brooklyn,Cypress Hills,40.68219525925925,-73.88409666666666
Brooklyn,DUMBO,40.70326583333333,-73.98789888888888
Brooklyn,Downtown Brooklyn,40.694321927710845,-73.98493807228915
Brooklyn,Dyker Heights,40.6240875,-74.0104725
Brooklyn,East Flatbush,40.64900038,-73.93927633999999
Brooklyn,East New York,40.668212018348626,-73.88419665137614
Brooklyn,Flatbush,40.64495351046699,-73.96051922705314
Brooklyn,Flatlands,40.62554265060241,-73.93257578313253
Brooklyn,Fort Greene,40.69018822085889,-73.97410271983641
Brooklyn,Fort Hamilton,40.61895781818182,-74.03223527272726
Brooklyn,Gowanus,40.67629947368421,-73.98865825910931
Brooklyn,Gravesend,40.595597794117644,-73.97689617647059
Brooklyn,Greenpoint,40.727969919210054,-73.95055415619389
Brooklyn,Kensington,40.64174885714286,-73.97570154285714
Brooklyn,Manhattan Beach,40.579364999999996,-73.946535
Brooklyn,Midwood,40.62020688073394,-73.95967211009174
Brooklyn,Mill Basin,40.612382499999995,-73.91585
Brooklyn,Navy Yard,40.69982142857143,-73.97393571428572
Brooklyn,Park Slope,40.6741683201581,-73.97895359683794
Brooklyn,Prospect Heights,40.67753243697479,-73.96805361344538
Brooklyn,Prospect-Lefferts Gardens,40.659284953271026,-73.95527491588784
Brooklyn,Red Hook,40.67721012658228,-74.00979632911393
Brooklyn,Sea Gate,40.57711857142857,-74.00872000000001
Brooklyn,Sheepshead Bay,40.59623030487805,-73.95208219512195
Brooklyn,South Slope,40.66492566901409,-73.98542095070422
Brooklyn,Sunset Park,40.65252517948718,-74.00340964102564
Brooklyn,Vinegar Hill,40.70154676470588,-73.98331147058823
Brooklyn,Williamsburg,40.712563952538915,-73.95185513396275
Brooklyn,Windsor Terrace,40.65461184713376,-73.97798974522293
Manhattan,Battery Park City,40.709964285714285,-74.016585
Manhattan,Chelsea,40.74468665768194,-73.99811000898472
Manhattan,Chinatown,40.71561961956522,-73.99390682065217
Manhattan,Civic Center,40.713855384615385,-74.00362826923077
Manhattan,East Harlem,40.79614334825425,-73.94228510295434
Manhattan,East Village,40.72676342687534,-73.9838571559633
Manhattan,Financial District,40.70690612903226,-74.00916733870967
Manhattan,Flatiron District,40.74105225,-73.98841350000001
Manhattan,Gramercy,40.73557207100592,-73.98429849112425
Manhattan,Greenwich Village,40.73066278061224,-73.99856306122449
Manhattan,Harlem,40.81602560195636,-73.948005579383
Manhattan,Hell's Kitchen,40.762156971399385,-73.99147516343209
Manhattan,Inwood,40.86531611111111,-73.92471996031746
Manhattan,Kips Bay,40.74181514893617,-73.9793955106383
Manhattan,Little Italy,40.71880008264463,-73.9972290909091
Manhattan,Lower East Side,40.718386871569706,-73.98781817782657
Manhattan,Marble Hill,40.87574083333333,-73.91103833333334
Manhattan,Midtown,40.75487114563107,-73.97582011003236
Manhattan,Morningside Heights,40.80834164739884,-73.96175826589595
Manhattan,Murray Hill,40.747427458677684,-73.97602871900827
Manhattan,NoHo,40.72700987179487,-73.99305166666666
Manhattan,Nolita,40.722145652173914,-73.99508252964426
Manhattan,Roosevelt Island,40.763282987012985,-73.9485561038961
Manhattan,SoHo,40.72437955307263,-74.00202427374302
Manhattan,Stuyvesant Town,40.731838918918925,-73.97830351351352
Manhattan,Theater District,40.7598365625,-73.98549086805556
Manhattan,Tribeca,40.71774378531073,-74.00740011299435
Manhattan,Two Bridges,40.71172722222222,-73.99578013888889
Manhattan,Upper East Side,40.77274807007786,-73.95473966073415
Manhattan,Upper West Side,40.78846260273973,-73.97373466260781
Manhattan,Washington Heights,40.84449530589544,-73.93836130144605
Manhattan,West Village,40.7343511328125,-74.004077890625
Queens,Arverne,40.59185298701299,-73.7948390909091
Queens,Astoria,40.764299155555555,-73.92000176666667
Queens,Bay Terrace,40.78066333333334,-73.78305
Queens,Bayside,40.759776153846154,-73.76862512820513
Queens,Bayswater,40.60571823529411,-73.76258235294118
Queens,Belle Harbor,40.57615125,-73.849045
Queens,Bellerose,40.731111428571424,-73.7263957142857
Queens,Breezy Point,40.56573,-73.86990333333334
Queens,Briarwood,40.70975517857143,-73.81381392857143
Queens,Cambria Heights,40.69378230769231,-73.73592038461538
Queens,College Point,40.78480263157895,-73.84378736842105
Queens,Corona,40.7429009375,-73.86100015625
Queens,Ditmars Steinway,40.7750295145631,-73.91055352750809
Queens,Douglaston,40.75964125,-73.73612625
Queens,East Elmhurst,40.76278367567568,-73.87868027027028
Queens,Edgemere,40.59467545454545,-73.77372818181819
Queens,Elmhurst,40.73993611814346,-73.87870569620254
Queens,Far Rockaway,40.597408620689656,-73.75450620689656
Queens,Flushing,40.754883967136145,-73.81951089201878
Queens,Forest Hills,40.721642777777774,-73.84672479166666
Queens,Fresh Meadows,40.7390734375,-73.788746875
Queens,Glendale,40.70078425925926,-73.8892062962963
Queens,Hollis,40.71452,-73.76707642857143
Queens,Holliswood,40.7224525,-73.77063
Queens,Howard Beach,40.661451,-73.845106
Queens,Jackson Heights,40.75174322580645,-73.88153715053764
Queens,Jamaica,40.685045844155844,-73.78834991341992
Queens,Jamaica Estates,40.718346315789475,-73.79042
Queens,Jamaica Hills,40.71358875,-73.7985025
Queens,Kew Gardens,40.7083015625,-73.830565
Queens,Kew Gardens Hills,40.724429615384615,-73.81922884615385
Queens,Laurelton,40.67529277777778,-73.74460055555556
Queens,Little Neck,40.764697999999996,-73.730012
Queens,Long Island City,40.7524518621974,-73.93820013035382
Queens,Maspeth,40.729699,-73.899919
Queens,Middle Village,40.716305806451615,-73.87912548387098
Queens,Neponsit,40.57063,-73.85921666666667
Queens,Ozone Park,40.68123887096774,-73.84736258064515
Queens,Queens Village,40.71459383333333,-73.74315366666666
Queens,Rego Park,40.72680462264151,-73.86168273584906
Queens,Richmond Hill,40.69398457446809,-73.83000361702128
Queens,Ridgewood,40.70407765957447,-73.90590231678487
Queens,Rockaway Beach,40.58743357142857,-73.8137830357143
Queens,Rosedale,40.65946898305084,-73.73445610169492
Queens,South Ozone Park,40.67225925,-73.804218
Queens,Springfield Gardens,40.66768988235294,-73.76242811764706
Queens,St. Albans,40.69566763157894,-73.76206763157894
Queens,Sunnyside,40.74241371900826,-73.92070933884297
Queens,Whitestone,40.78423818181818,-73.81864999999999
Queens,Woodhaven,40.691967727272726,-73.8582325
Queens,Woodside,40.7459250212766,-73.9027229787234
Staten Island,Arden Heights,40.55241,-74.1822525
Staten Island,Arrochar,40.593899523809526,-74.07460047619048
Staten Island,"Bay Terrace, Staten Island",40.551435,-74.140495
Staten Island,Bull's Head,40.60115,-74.16637166666668
Staten Island,Castleton Corners,40.6171025,-74.1230075
Staten Island,Clifton,40.619166,-74.08156133333334
Staten Island,Concord,40.60201192307692,-74.08418653846154
Staten Island,Dongan Hills,40.580395714285714,-74.09334142857142
Staten Island,Eltingville,40.541043333333334,-74.15436333333334
Staten Island,Emerson Hill,40.607162,-74.12800999999999
Staten Island,Fort Wadsworth,40.59546,-74.06092
Staten Island,Graniteville,40.62283,-74.16575333333334
Staten Island,Grant City,40.57893,-74.10933
Staten Island,Great Kills,40.549969,-74.144807
Staten Island,Grymes Hill,40.614848571428574,-74.09376285714286
Staten Island,Howland Hook,40.631294999999994,-74.17262
Staten Island,Huguenot,40.53946666666667,-74.17168
Staten Island,Lighthouse Hill,40.576795000000004,-74.13456
Staten Island,Mariners Harbor,40.63317875,-74.15921625
Staten Island,Midland Beach,40.57369666666667,-74.095325
Staten Island,New Brighton,40.642607999999996,-74.092958
Staten Island,New Dorp,40.57044,-74.11747
Staten Island,New Dorp Beach,40.564828,-74.102124
Staten Island,New Springville,40.5845125,-74.15781
Staten Island,Oakwood,40.560512,-74.11859999999999
Staten Island,Port Richmond,40.63314888888888,-74.13383222222222
Staten Island,Prince's Bay,40.5257,-74.201255
Staten Island,Randall Manor,40.632749473684214,-74.12150421052631
Staten Island,Richmondtown,40.57093,-74.12429
Staten Island,Rosebank,40.61214857142857,-74.07099142857143
Staten Island,Rossville,40.5479,-74.21017
Staten Island,Shore Acres,40.608822857142854,-74.06672428571427
Staten Island,Silver Lake,40.623395,-74.09649999999999
Staten Island,South Beach,40.59120125,-74.08733125
Staten Island,St. George,40.643308125,-74.08182270833333
Staten Island,Stapleton,40.632663333333326,-74.07849518518518
Staten Island,Todt Hill,40.603375,-74.110105
Staten Island,Tompkinsville,40.633134523809524,-74.08646476190476
Staten Island,Tottenville,40.507349999999995,-74.23939
Staten Island,West Brighton,40.63193222222222,-74.11595888888888
Staten Island,Westerleigh,40.613895,-74.13366500000001
Staten Island,Willowbrook,40.59886,-74.13217
Staten Island,Woodrow,40.53884,-74.19826
